Latitude,Longitude,Height,Time,Time_t,Time_y,RS_PWV,IR_PWV,name
30.25,56.96,1754,43466.3854,01/01/2019 09:14:58,0.385399999999208,0.493,0.567,Kerman
31.33,48.67,22,43466.3889,01/01/2019 09:20:00,0.388899999998102,1.073,1.849,Ahwaz
32.86,59.2,1491,43466.3889,01/01/2019 09:20:00,0.388899999998102,0.639,0.588,Birjand
35.68,51.35,1191,43466.3889,01/01/2019 09:20:00,0.388899999998102,0.639,0.886,Tehran
36.26,59.63,990,43466.8889,01/01/2019 21:20:00,0.888899999998102,1.184,0.421,Mashhad
35.68,51.35,1191,43466.9583,01/01/2019 22:59:57,0.958299999998417,0.621,0.365,Tehran
38.08,46.28,1361,43467.9861,01/02/2019 23:39:59,1.9861000000019,0.76,0.233,Tabriz
30.25,56.96,1754,43469.4097,01/04/2019 09:49:58,3.40969999999652,0.317,0.216,Kerman
31.33,48.67,22,43469.4097,01/04/2019 09:49:58,3.40969999999652,1.066,0.951,Ahwaz
32.86,59.2,1491,43469.4097,01/04/2019 09:49:58,3.40969999999652,0.564,0.785,Birjand
35.68,51.35,1191,43469.4097,01/04/2019 09:49:58,3.40969999999652,0.437,0.35,Tehran
36.26,59.63,990,43469.9097,01/04/2019 21:49:58,3.90969999999652,1.106,0.393,Mashhad
29.46,60.88,1370,43469.9132,01/04/2019 21:55:00,3.91320000000269,1.026,0.359,Zahedan
30.25,56.96,1754,43470.3715,01/05/2019 08:54:57,4.37150000000111,0.187,0.172,Kerman
32.86,59.2,1491,43470.3715,01/05/2019 08:54:57,4.37150000000111,0.354,0.384,Birjand
35.68,51.35,1191,43470.3715,01/05/2019 08:54:57,4.37150000000111,0.499,0.77,Tehran
29.46,60.88,1370,43470.941,01/05/2019 22:35:02,4.94099999999889,0.358,0.608,Zahedan
29.53,52.58,1491,43470.941,01/05/2019 22:35:02,4.94099999999889,0.406,0.897,Shiraz
36.26,59.63,990,43470.941,01/05/2019 22:35:02,4.94099999999889,0.768,0.243,Mashhad
32.46,51.71,1550,43471.9028,01/06/2019 21:40:01,5.90280000000348,0.713,1.433,Esfahan
38.08,46.28,1361,43471.9688,01/06/2019 23:15:04,5.96880000000238,0.78,0.462,Tabriz
34.26,47.11,1322,43471.9722,01/06/2019 23:19:58,5.97219999999652,1.152,0.242,Kermanshah
35.68,51.35,1191,43471.9722,01/06/2019 23:19:58,5.97219999999652,0.637,0.345,Tehran
36.26,59.63,990,43472.9306,01/07/2019 22:20:03,6.93059999999969,0.945,0.497,Mashhad
29.46,60.88,1370,43472.934,01/07/2019 22:24:57,6.93400000000111,0.806,1.651,Zahedan
29.53,52.58,1491,43472.934,01/07/2019 22:24:57,6.93400000000111,1.143,0.741,Shiraz
35.68,51.35,1191,43473.3924,01/08/2019 09:25:03,7.392399999997,0.409,0.422,Tehran
29.46,60.88,1370,43474.9236,01/09/2019 22:09:59,8.9236000000019,0.824,1.072,Zahedan
34.26,47.11,1322,43474.9236,01/09/2019 22:09:59,8.9236000000019,1.001,0.219,Kermanshah
35.68,51.35,1191,43474.9236,01/09/2019 22:09:59,8.9236000000019,0.725,0.425,Tehran
30.25,56.96,1754,43475.3819,01/10/2019 09:09:56,9.38190000000031,0.488,0.48,Kerman
32.86,59.2,1491,43475.3854,01/10/2019 09:14:58,9.38539999999921,0.838,0.805,Birjand
35.68,51.35,1191,43475.3854,01/10/2019 09:14:58,9.38539999999921,0.399,0.361,Tehran
29.46,60.88,1370,43475.8854,01/10/2019 21:14:58,9.88539999999921,0.939,0.305,Zahedan
36.26,59.63,990,43475.8854,01/10/2019 21:14:58,9.88539999999921,1.07,0.305,Mashhad
29.53,52.58,1491,43475.9549,01/10/2019 22:55:03,9.954899999997,0.827,0.361,Shiraz
32.46,51.71,1550,43475.9549,01/10/2019 22:55:03,9.954899999997,0.258,0.248,Esfahan
34.26,47.11,1322,43475.9549,01/10/2019 22:55:03,9.954899999997,0.389,0.292,Kermanshah
35.68,51.35,1191,43475.9549,01/10/2019 22:55:03,9.954899999997,0.479,0.329,Tehran
38.08,46.28,1361,43475.9549,01/10/2019 22:55:03,9.954899999997,0.382,0.298,Tabriz
30.25,56.96,1754,43476.4132,01/11/2019 09:55:00,10.4132000000027,0.362,0.283,Kerman
31.33,48.67,22,43476.4132,01/11/2019 09:55:00,10.4132000000027,0.646,1.028,Ahwaz
35.68,51.35,1191,43476.4132,01/11/2019 09:55:00,10.4132000000027,0.498,0.421,Tehran
29.46,60.88,1370,43476.9167,01/11/2019 22:00:02,10.9167000000016,0.953,0.248,Zahedan
29.53,52.58,1491,43476.9167,01/11/2019 22:00:02,10.9167000000016,0.343,0.21,Shiraz
32.46,51.71,1550,43476.9167,01/11/2019 22:00:02,10.9167000000016,0.358,0.2,Esfahan
35.68,51.35,1191,43476.9167,01/11/2019 22:00:02,10.9167000000016,0.4,0.176,Tehran
38.08,46.28,1361,43476.9167,01/11/2019 22:00:02,10.9167000000016,0.345,0.248,Tabriz
32.86,59.2,1491,43477.375,01/12/2019 09:00:00,11.375,0.206,0.27,Birjand
35.68,51.35,1191,43477.375,01/12/2019 09:00:00,11.375,0.526,0.481,Tehran
29.46,60.88,1370,43477.8785,01/12/2019 21:05:02,11.8784999999989,0.352,0.345,Zahedan
35.68,51.35,1191,43477.9444,01/12/2019 22:39:56,11.9444000000003,0.411,0.404,Tehran
38.08,46.28,1361,43477.9444,01/12/2019 22:39:56,11.9444000000003,0.313,0.349,Tabriz
32.46,51.71,1550,43478.9063,01/13/2019 21:45:04,12.9063000000024,0.808,0.721,Esfahan
34.26,47.11,1322,43479.9375,01/14/2019 22:30:00,13.9375,1.454,0.575,Kermanshah
35.68,51.35,1191,43479.9375,01/14/2019 22:30:00,13.9375,1.444,0.78,Tehran
36.26,59.63,990,43479.9375,01/14/2019 22:30:00,13.9375,1.35,1.037,Mashhad
38.08,46.28,1361,43479.9375,01/14/2019 22:30:00,13.9375,0.816,0.367,Tabriz
35.68,51.35,1191,43480.3958,01/15/2019 09:29:57,14.3957999999984,0.434,0.438,Tehran
29.53,52.58,1491,43480.8993,01/15/2019 21:34:59,14.8992999999973,1.408,1.418,Shiraz
36.26,59.63,990,43480.8993,01/15/2019 21:34:59,14.8992999999973,1.285,0.365,Mashhad
34.26,47.11,1322,43480.9653,01/15/2019 23:10:01,14.9653000000035,0.975,0.338,Kermanshah
38.08,46.28,1361,43480.9653,01/15/2019 23:10:01,14.9653000000035,0.739,0.384,Tabriz
32.86,59.2,1491,43481.3576,01/16/2019 08:34:56,15.357600000003,0.869,0.627,Birjand
32.46,51.71,1550,43481.9271,01/16/2019 22:15:01,15.9271000000008,0.718,0.811,Esfahan
34.26,47.11,1322,43481.9271,01/16/2019 22:15:01,15.9271000000008,0.841,0.543,Kermanshah
29.46,60.88,1370,43481.9306,01/16/2019 22:20:03,15.9305999999997,1.35,1.429,Zahedan
29.46,60.88,1370,43482.8924,01/17/2019 21:25:03,16.892399999997,1.184,0.817,Zahedan
30.25,56.96,1754,43483.4167,01/18/2019 10:00:02,17.4167000000016,0.391,0.324,Kerman
32.86,59.2,1491,43483.4167,01/18/2019 10:00:02,17.4167000000016,0.3,0.444,Birjand
29.46,60.88,1370,43483.9201,01/18/2019 22:04:56,17.920100000003,1.264,1.039,Zahedan
29.53,52.58,1491,43483.9201,01/18/2019 22:04:56,17.920100000003,0.213,0.25,Shiraz
32.46,51.71,1550,43483.9201,01/18/2019 22:04:56,17.920100000003,0.332,0.22,Esfahan
35.68,51.35,1191,43483.9201,01/18/2019 22:04:56,17.920100000003,0.677,0.293,Tehran
36.26,59.63,990,43483.9201,01/18/2019 22:04:56,17.920100000003,0.692,0.386,Mashhad
30.25,56.96,1754,43484.3785,01/19/2019 09:05:02,18.3784999999989,0.273,0.232,Kerman
32.86,59.2,1491,43484.3785,01/19/2019 09:05:02,18.3784999999989,0.362,0.421,Birjand
29.46,60.88,1370,43484.8819,01/19/2019 21:09:56,18.8819000000003,0.705,0.524,Zahedan
35.68,51.35,1191,43484.9479,01/19/2019 22:44:58,18.9478999999992,0.49,0.454,Tehran
36.26,59.63,990,43484.9479,01/19/2019 22:44:58,18.9478999999992,0.629,0.491,Mashhad
29.53,52.58,1491,43484.9514,01/19/2019 22:50:00,18.9513999999981,0.292,0.161,Shiraz
32.46,51.71,1550,43484.9514,01/19/2019 22:50:00,18.9513999999981,0.517,0.245,Esfahan
30.25,56.96,1754,43485.4097,01/20/2019 09:49:58,19.4096999999965,0.373,0.344,Kerman
31.33,48.67,22,43485.4097,01/20/2019 09:49:58,19.4096999999965,0.714,0.836,Ahwaz
32.86,59.2,1491,43485.4097,01/20/2019 09:49:58,19.4096999999965,0.519,0.531,Birjand
35.68,51.35,1191,43485.4097,01/20/2019 09:49:58,19.4096999999965,0.502,0.687,Tehran
35.68,51.35,1191,43485.9097,01/20/2019 21:49:58,19.9096999999965,0.46,0.326,Tehran
29.46,60.88,1370,43485.9132,01/20/2019 21:55:00,19.9132000000027,0.453,0.34,Zahedan
29.53,52.58,1491,43485.9132,01/20/2019 21:55:00,19.9132000000027,0.281,0.392,Shiraz
32.46,51.71,1550,43485.9132,01/20/2019 21:55:00,19.9132000000027,0.35,0.193,Esfahan
34.26,47.11,1322,43485.9792,01/20/2019 23:30:02,19.9792000000016,0.402,0.37,Kermanshah
38.08,46.28,1361,43485.9792,01/20/2019 23:30:02,19.9792000000016,0.31,0.383,Tabriz
30.25,56.96,1754,43486.3715,01/21/2019 08:54:57,20.3715000000011,0.3,0.524,Kerman
32.86,59.2,1491,43486.3715,01/21/2019 08:54:57,20.3715000000011,0.361,0.413,Birjand
29.46,60.88,1370,43486.941,01/21/2019 22:35:02,20.9409999999989,0.464,0.322,Zahedan
29.53,52.58,1491,43486.941,01/21/2019 22:35:02,20.9409999999989,0.399,0.293,Shiraz
32.46,51.71,1550,43486.941,01/21/2019 22:35:02,20.9409999999989,0.383,0.45,Esfahan
35.68,51.35,1191,43486.941,01/21/2019 22:35:02,20.9409999999989,0.477,0.375,Tehran
36.26,59.63,990,43486.941,01/21/2019 22:35:02,20.9409999999989,0.681,0.375,Mashhad
30.25,56.96,1754,43487.3993,01/22/2019 09:34:59,21.3992999999973,0.343,0.287,Kerman
31.33,48.67,22,43487.3993,01/22/2019 09:34:59,21.3992999999973,1.176,1.331,Ahwaz
32.86,59.2,1491,43487.3993,01/22/2019 09:34:59,21.3992999999973,0.356,0.327,Birjand
35.68,51.35,1191,43487.4028,01/22/2019 09:40:01,21.4028000000035,0.577,0.845,Tehran
29.46,60.88,1370,43487.9028,01/22/2019 21:40:01,21.9028000000035,0.369,0.348,Zahedan
29.53,52.58,1491,43487.9028,01/22/2019 21:40:01,21.9028000000035,0.363,0.216,Shiraz
32.46,51.71,1550,43487.9028,01/22/2019 21:40:01,21.9028000000035,0.576,0.365,Esfahan
36.26,59.63,990,43487.9028,01/22/2019 21:40:01,21.9028000000035,0.626,0.428,Mashhad
38.08,46.28,1361,43487.9688,01/22/2019 23:15:04,21.9688000000024,0.529,0.219,Tabriz
34.26,47.11,1322,43487.9722,01/22/2019 23:19:58,21.9721999999965,0.562,0.415,Kermanshah
35.68,51.35,1191,43487.9722,01/22/2019 23:19:58,21.9721999999965,0.569,0.459,Tehran
30.25,56.96,1754,43488.3611,01/23/2019 08:39:59,22.3611000000019,0.431,0.486,Kerman
32.86,59.2,1491,43488.3611,01/23/2019 08:39:59,22.3611000000019,0.509,0.473,Birjand
34.26,47.11,1322,43488.9306,01/23/2019 22:20:03,22.9305999999997,0.718,0.349,Kermanshah
36.26,59.63,990,43488.9306,01/23/2019 22:20:03,22.9305999999997,0.553,0.323,Mashhad
38.08,46.28,1361,43488.9306,01/23/2019 22:20:03,22.9305999999997,0.513,0.349,Tabriz
29.46,60.88,1370,43488.934,01/23/2019 22:24:57,22.9340000000011,0.376,0.581,Zahedan
32.46,51.71,1550,43488.934,01/23/2019 22:24:57,22.9340000000011,0.571,0.258,Esfahan
35.68,51.35,1191,43488.934,01/23/2019 22:24:57,22.9340000000011,0.602,0.245,Tehran
30.25,56.96,1754,43489.3924,01/24/2019 09:25:03,23.392399999997,0.603,0.515,Kerman
32.86,59.2,1491,43489.3924,01/24/2019 09:25:03,23.392399999997,0.362,0.28,Birjand
35.68,51.35,1191,43489.3924,01/24/2019 09:25:03,23.392399999997,0.694,0.673,Tehran
36.26,59.63,990,43489.8924,01/24/2019 21:25:03,23.892399999997,0.528,0.33,Mashhad
32.46,51.71,1550,43489.9618,01/24/2019 23:04:59,23.9617999999973,0.617,0.209,Esfahan
34.26,47.11,1322,43489.9618,01/24/2019 23:04:59,23.9617999999973,0.709,0.531,Kermanshah
35.68,51.35,1191,43489.9618,01/24/2019 23:04:59,23.9617999999973,0.677,0.383,Tehran
32.86,59.2,1491,43490.3542,01/25/2019 08:30:02,24.3542000000016,0.497,0.574,Birjand
30.25,56.96,1754,43490.4201,01/25/2019 10:04:56,24.420100000003,0.457,0.412,Kerman
29.46,60.88,1370,43490.9236,01/25/2019 22:09:59,24.9236000000019,0.664,0.706,Zahedan
29.53,52.58,1491,43490.9236,01/25/2019 22:09:59,24.9236000000019,1.02,0.726,Shiraz
32.46,51.71,1550,43490.9236,01/25/2019 22:09:59,24.9236000000019,0.505,0.371,Esfahan
34.26,47.11,1322,43490.9236,01/25/2019 22:09:59,24.9236000000019,0.758,0.515,Kermanshah
35.68,51.35,1191,43490.9236,01/25/2019 22:09:59,24.9236000000019,0.705,0.493,Tehran
38.08,46.28,1361,43490.9236,01/25/2019 22:09:59,24.9236000000019,0.766,0.455,Tabriz
30.25,56.96,1754,43491.3819,01/26/2019 09:09:56,25.3819000000003,0.662,0.82,Kerman
31.33,48.67,22,43491.3819,01/26/2019 09:09:56,25.3819000000003,1.587,1.275,Ahwaz
35.68,51.35,1191,43491.3854,01/26/2019 09:14:58,25.3853999999992,0.614,0.668,Tehran
29.46,60.88,1370,43491.8854,01/26/2019 21:14:58,25.8853999999992,0.825,0.493,Zahedan
36.26,59.63,990,43491.8854,01/26/2019 21:14:58,25.8853999999992,0.727,0.435,Mashhad
29.53,52.58,1491,43491.9549,01/26/2019 22:55:03,25.954899999997,0.934,1.064,Shiraz
35.68,51.35,1191,43491.9549,01/26/2019 22:55:03,25.954899999997,0.734,0.372,Tehran
38.08,46.28,1361,43491.9549,01/26/2019 22:55:03,25.954899999997,0.797,0.558,Tabriz
30.25,56.96,1754,43492.4132,01/27/2019 09:55:00,26.4132000000027,0.486,0.422,Kerman
32.86,59.2,1491,43492.4132,01/27/2019 09:55:00,26.4132000000027,0.587,0.542,Birjand
29.46,60.88,1370,43492.9167,01/27/2019 22:00:02,26.9167000000016,0.868,0.696,Zahedan
32.86,59.2,1491,43493.375,01/28/2019 09:00:00,27.375,1.27,1.094,Birjand
31.33,48.67,22,43494.4063,01/29/2019 09:45:04,28.4063000000024,1.304,1.439,Ahwaz
29.46,60.88,1370,43494.9063,01/29/2019 21:45:04,28.9063000000024,1.218,0.504,Zahedan
29.46,60.88,1370,43495.9375,01/30/2019 22:30:00,29.9375,1.069,0.356,Zahedan
29.53,52.58,1491,43495.9375,01/30/2019 22:30:00,29.9375,0.347,0.622,Shiraz
32.46,51.71,1550,43495.9375,01/30/2019 22:30:00,29.9375,0.626,0.202,Esfahan
30.25,56.96,1754,43496.3958,01/31/2019 09:29:57,30.3957999999984,0.316,0.23,Kerman
