datetime,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
1/1/2019 9:15,0.527962099,0.994139542,1754,A20190010915,4.93,5.67,Kerman,1995,2019,1,1,9,15,day,Winter,6.072996902,5.946058448
1/1/2019 9:20,0.573515192,1.033234917,1491,A20190010920,6.39,5.88,Birjand,2000,2019,1,1,9,20,day,Winter,5.784411166,6.197449641
1/1/2019 9:20,0.622733477,0.896226571,1191,A20190010920,6.39,8.86,Tehran,2000,2019,1,1,9,20,day,Winter,7.756435708,8.428378501
1/4/2019 9:50,0.546811655,0.849451747,22,A20190040950,10.66,9.51,Ahwaz,6350,2019,1,4,9,50,day,Winter,9.137350697,8.432132569
1/4/2019 9:50,0.573515192,1.033234917,1491,A20190040950,5.64,7.85,Birjand,6350,2019,1,4,9,50,day,Winter,7.20261084,7.41674849
1/4/2019 9:50,0.527962099,0.994139542,1754,A20190040950,3.17,2.16,Kerman,6350,2019,1,4,9,50,day,Winter,4.793398959,4.303314514
1/4/2019 9:50,0.622733477,0.896226571,1191,A20190040950,4.37,3.5,Tehran,6350,2019,1,4,9,50,day,Winter,5.609685791,7.808840175
1/5/2019 8:55,0.573515192,1.033234917,1491,A20190050855,3.54,3.84,Birjand,7735,2019,1,5,8,55,day,Winter,4.847618134,4.509459681
1/5/2019 8:55,0.527962099,0.994139542,1754,A20190050855,1.87,1.72,Kerman,7735,2019,1,5,8,55,day,Winter,4.45832309,3.031723292
1/5/2019 8:55,0.622733477,0.896226571,1191,A20190050855,4.99,7.7,Tehran,7735,2019,1,5,8,55,day,Winter,7.043327411,7.88535996
1/8/2019 9:25,0.622733477,0.896226571,1191,A20190080925,4.09,4.22,Tehran,12085,2019,1,8,9,25,day,Winter,5.574272905,7.012140211
1/10/2019 9:10,0.527962099,0.994139542,1754,A20190100910,4.88,4.8,Kerman,14950,2019,1,10,9,10,day,Winter,5.416075697,4.778688816
1/10/2019 9:15,0.573515192,1.033234917,1491,A20190100915,8.38,8.05,Birjand,14955,2019,1,10,9,15,day,Winter,7.055869402,7.310820588
1/10/2019 9:15,0.622733477,0.896226571,1191,A20190100915,3.99,3.61,Tehran,14955,2019,1,10,9,15,day,Winter,5.27077605,7.25024627
1/11/2019 9:55,0.546811655,0.849451747,22,A20190110955,6.46,10.28,Ahwaz,16435,2019,1,11,9,55,day,Winter,9.619179852,9.548657172
1/11/2019 9:55,0.527962099,0.994139542,1754,A20190110955,3.62,2.83,Kerman,16435,2019,1,11,9,55,day,Winter,4.89113725,4.483524207
1/11/2019 9:55,0.622733477,0.896226571,1191,A20190110955,4.98,4.21,Tehran,16435,2019,1,11,9,55,day,Winter,5.850935839,6.61970348
1/12/2019 9:00,0.573515192,1.033234917,1491,A20190120900,2.06,2.7,Birjand,17820,2019,1,12,9,0,day,Winter,3.993576123,4.668107553
1/12/2019 9:00,0.622733477,0.896226571,1191,A20190120900,5.26,4.81,Tehran,17820,2019,1,12,9,0,day,Winter,5.532874907,6.809754941
1/15/2019 9:30,0.622733477,0.896226571,1191,A20190150930,4.34,4.38,Tehran,22170,2019,1,15,9,30,day,Winter,5.668344813,6.583361893
1/16/2019 8:35,0.573515192,1.033234917,1491,A20190160835,8.69,6.27,Birjand,23555,2019,1,16,8,35,day,Winter,5.69074327,6.520961056
1/18/2019 10:00,0.573515192,1.033234917,1491,A20190181000,3,4.44,Birjand,26520,2019,1,18,10,0,day,Winter,4.936083474,5.464065355
1/18/2019 10:00,0.527962099,0.994139542,1754,A20190181000,3.91,3.24,Kerman,26520,2019,1,18,10,0,day,Winter,4.658118526,5.553355868
1/19/2019 9:05,0.573515192,1.033234917,1491,A20190190905,3.62,4.21,Birjand,27905,2019,1,19,9,5,day,Winter,4.592015547,4.859060191
1/19/2019 9:05,0.527962099,0.994139542,1754,A20190190905,2.73,2.32,Kerman,27905,2019,1,19,9,5,day,Winter,4.08041264,4.484872369
1/20/2019 9:50,0.546811655,0.849451747,22,A20190200950,7.14,8.36,Ahwaz,29390,2019,1,20,9,50,day,Winter,9.212844714,8.733064613
1/20/2019 9:50,0.573515192,1.033234917,1491,A20190200950,5.19,5.31,Birjand,29390,2019,1,20,9,50,day,Winter,5.483773331,5.560860535
