,Unnamed: 0,Latitude,Longitude,Height,time_tag,RS PWV,IR PWV,name,datetime,dayofyear_hour_minute,year,month,day,hour,minute,day/night,season,mlp_modified_pwv,rf_modified_pwv
0,0,0.527962098728285,0.99413954193597,1754,A20190010915,4.93,5.67,Kerman,2019-01-01 09:15:00,1995,2019,1,1,9,15,day,Winter,6.072996902245256,5.94605844793247
1,1,0.573515192205337,1.03323491718064,1491,A20190010920,6.39,5.88,Birjand,2019-01-01 09:20:00,2000,2019,1,1,9,20,day,Winter,5.784411165667832,6.197449640796454
2,2,0.622733477111577,0.896226570899088,1191,A20190010920,6.39,8.86,Tehran,2019-01-01 09:20:00,2000,2019,1,1,9,20,day,Winter,7.756435707731941,8.42837850087939
3,3,0.622733477111577,0.896226570899088,1191,A20190012300,6.21,3.65,Tehran,2019-01-01 23:00:00,2820,2019,1,1,23,0,night,Winter,7.55436744546805,8.141020634224521
4,4,0.664621379159441,0.807738377822976,1361,A20190022340,7.6,2.33,Tabriz,2019-01-02 23:40:00,4300,2019,1,2,23,40,night,Winter,7.5238708391138225,7.623240025612873
5,5,0.546811654649823,0.84945174694564,22,A20190040950,10.66,9.51,Ahwaz,2019-01-04 09:50:00,6350,2019,1,4,9,50,day,Winter,9.137350697101471,8.432132569347155
6,6,0.573515192205337,1.03323491718064,1491,A20190040950,5.64,7.85,Birjand,2019-01-04 09:50:00,6350,2019,1,4,9,50,day,Winter,7.202610839722405,7.416748489781031
7,7,0.527962098728285,0.99413954193597,1754,A20190040950,3.17,2.16,Kerman,2019-01-04 09:50:00,6350,2019,1,4,9,50,day,Winter,4.793398959003114,4.303314513852991
8,8,0.622733477111577,0.896226570899088,1191,A20190040950,4.37,3.5,Tehran,2019-01-04 09:50:00,6350,2019,1,4,9,50,day,Winter,5.609685790859147,7.808840175162867
9,9,0.632856386773144,1.04073983296422,990,A20190042150,11.06,3.93,Mashhad,2019-01-04 21:50:00,7070,2019,1,4,21,50,night,Winter,7.111498245493438,7.07896168881576
10,10,0.573515192205337,1.03323491718064,1491,A20190050855,3.54,3.84,Birjand,2019-01-05 08:55:00,7735,2019,1,5,8,55,day,Winter,4.8476181339938025,4.509459681256667
11,11,0.527962098728285,0.99413954193597,1754,A20190050855,1.87,1.72,Kerman,2019-01-05 08:55:00,7735,2019,1,5,8,55,day,Winter,4.458323089693379,3.0317232923988198
12,12,0.622733477111577,0.896226570899088,1191,A20190050855,4.99,7.7,Tehran,2019-01-05 08:55:00,7735,2019,1,5,8,55,day,Winter,7.043327410602221,7.88535996004525
13,13,0.632856386773144,1.04073983296422,990,A20190052235,7.68,2.43,Mashhad,2019-01-05 22:35:00,8555,2019,1,5,22,35,night,Winter,6.663729335818087,6.920837440741372
14,14,0.51417399763753,1.06255644861415,1370,A20190052235,3.58,6.08,Zahedan,2019-01-05 22:35:00,8555,2019,1,5,22,35,night,Winter,7.089909156618898,7.193014372489719
15,15,0.664621379159441,0.807738377822976,1361,A20190062315,7.8,4.62,Tabriz,2019-01-06 23:15:00,10035,2019,1,6,23,15,night,Winter,8.222414874204791,7.549300161077075
16,16,0.622733477111577,0.896226570899088,1191,A20190062320,6.37,3.45,Tehran,2019-01-06 23:20:00,10040,2019,1,6,23,20,night,Winter,7.360051552207461,7.8730762279750985
17,17,0.632856386773144,1.04073983296422,990,A20190072220,9.45,4.97,Mashhad,2019-01-07 22:20:00,11420,2019,1,7,22,20,night,Winter,7.5569767928273714,7.141281143707596
