Site,Longitude,Latitude,EastVelocity,NorthVelocity,EastError,NorthError,Correlation,Solution,Speed
ABAD,52.568,31.228,-0.65,13.77,1.54,1.54,0,Raeesi,13.78533279
ABAL,51.986,35.793,-1.09,10.34,0.52,0.51,0.01,Raeesi,10.39729292
ABAR,53.308,31.123,-0.57,13.1,1.55,1.54,0,Raeesi,13.1123949
ABDN,48.2135,30.3778,0.37,20.35,0.12,0.1,0.015,IPGN,20.35336336
ABGR,58.319,32.484,1.46,7.99,1.58,1.58,0.002,Raeesi,8.122296473
ABJN,57.046,31.206,3.06,11.75,1.64,1.64,0.002,Raeesi,12.14191501
ABRK,53.2265,31.1205,-0.34,14.44,0.11,0.13,0.012,IPGN,14.44400222
ABSD,52.0912,35.6612,-1.32,9.21,0.11,0.14,0.013,IPGN,9.304111994
AGKA,48.005,37.169,-0.56,13.04,0.53,0.54,0.012,Raeesi,13.052019
AGRD,43.033,39.718,0.6,8.35,0.81,0.81,-0.005,Reilinger,8.371529132
AHAR,47.0497,38.4682,3.81,11.21,0.16,0.2,0.005,IPGN,11.83977196
AHVZ,48.7444,31.3439,-2.34,17.33,0.1,0.17,0.01,IPGN,17.4872668
AKHT,50.6006,35.5883,-1.52,11.71,0.13,0.1,0.014,IPGN,11.80823865
ALIS,51.082,28.919,0.28,20.79,1.06,1.04,0.009,Raeesi,20.79188544
ALXY,42.961,44.753,3.97,-3.04,0.56,0.57,-0.032,Reilinger,5.000249994
AMIN,52.586,35.701,-1.95,8.55,0.47,0.46,0.01,Raeesi,8.769549589
AMND,46.1552,38.2312,2.33,11.26,0.11,0.12,0.01,IPGN,11.49854339
AMSI,43.768,40.972,1.26,6.42,0.9,0.5,-0.017,Reilinger,6.542476595
ANGN,57.8973,26.4572,0.52,12.38,0.48,0.34,-0.003,IPGN,12.39091603
ARA4,44.679,39.84,2.63,8.07,0.66,0.65,-0.006,Reilinger,8.487744105
ARBI,48.231,38.477,4.6,12.48,0.47,0.46,-0.003,Raeesi,13.3007669
ARDA,53.822,32.313,-1.3,13.8,0.33,0.33,0.01,Raeesi,13.86109664
ARDH,47.6501,37.8288,1.02,12.9,0.15,0.16,0.006,IPGN,12.94026275
ARDH,42.699,41.111,0.47,3.86,0.83,0.83,-0.01,Reilinger,3.888508712
ARDN,42.755,41.126,0.33,4.86,0.41,0.41,-0.029,Reilinger,4.87119082
ARNG,51.0749,35.9284,-1.64,9.45,0.11,0.43,0.003,IPGN,9.591251222
ARTI,43.954,40.609,2.04,6.9,0.41,0.5,-0.027,Reilinger,7.195248432
ARTU,58.5605,56.4298,-0.63,-0.18,0.09,0.09,0.015,IPGN*,0.65520989
ASTG,45.341,40.124,2.45,9.28,1.6,1.11,0,Nocquet,9.597963326
